Price,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,CAT,JNJ,MSFT,SPY,CAT,JNJ,MSFT,SPY,CAT,JNJ,MSFT,SPY,CAT,JNJ,MSFT,SPY,CAT,JNJ,MSFT,SPY,CAT,JNJ,MSFT,SPY
Date,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-13,210.23243713378906,149.3104248046875,294.2476501464844,439.40789794921875,227.0,168.75999450683594,304.79998779296875,464.5299987792969,227.8800048828125,170.4199981689453,320.8800048828125,472.8800048828125,222.63999938964844,168.4600067138672,304.0,463.44000244140625,222.88999938964844,169.0,320.4700012207031,472.19000244140625,5002300,6159400,45366000,91173100
2022-01-14,212.0291290283203,148.49644470214844,299.46075439453125,439.5876770019531,228.94000244140625,167.83999633789062,310.20001220703125,464.7200012207031,229.63999938964844,168.64999389648438,310.82000732421875,465.0899963378906,223.5800018310547,167.14999389648438,303.75,459.8999938964844,224.72000122070312,168.6300048828125,304.25,461.19000244140625,3970600,5847700,39846400,95890900
2022-01-18,212.89044189453125,147.84178161621094,292.17218017578125,431.802734375,229.8699951171875,167.10000610351562,302.6499938964844,456.489990234375,230.42999267578125,167.72000122070312,309.79998779296875,459.9599914550781,226.86000061035156,166.00999450683594,301.739990234375,455.30999755859375,227.7100067138672,167.10000610351562,304.07000732421875,459.739990234375,5411900,7815600,42333200,109709100
2022-01-19,206.28302001953125,147.38169860839844,292.8285827636719,427.3191223144531,221.66000366210938,166.5800018310547,303.3299865722656,451.75,229.80999755859375,168.72000122070312,313.9100036621094,459.6099853515625,220.92999267578125,166.32000732421875,302.70001220703125,451.4599914550781,229.66000366210938,167.1999969482422,306.2900085449219,458.1300048828125,4991700,5926500,45933900,109357600
2022-01-20,201.60194396972656,146.20497131347656,291.158447265625,422.5895080566406,216.6300048828125,165.25,301.6000061035156,446.75,221.8699951171875,167.86000061035156,311.6499938964844,458.739990234375,216.0399932861328,164.92999267578125,301.1400146484375,444.5,221.0800018310547,167.2899932861328,309.07000732421875,453.75,3545600,6011300,35380700,122379700
2022-01-21,199.2381591796875,145.86875915527344,285.78131103515625,414.2938537597656,214.08999633789062,164.8699951171875,296.0299987792969,437.9800109863281,217.50999450683594,167.99000549316406,304.1099853515625,448.05999755859375,212.4199981689453,164.47000122070312,295.6099853515625,437.95001220703125,217.50999450683594,166.19000244140625,302.69000244140625,445.55999755859375,3754700,10550300,57984400,202271200
2022-01-24,199.46148681640625,144.18772888183594,286.1094665527344,416.05316162109375,214.3300018310547,162.97000122070312,296.3699951171875,439.8399963378906,214.97000122070312,164.1699981689453,297.1099853515625,440.3800048828125,206.66000366210938,158.25999450683594,276.04998779296875,420.760009765625,211.16000366210938,164.0,292.20001220703125,432.0299987792969,5107300,14054600,85731500,251783900
2022-01-25,199.44288635253906,148.31063842773438,278.5023498535156,410.9736022949219,214.30999755859375,167.6300048828125,288.489990234375,434.4700012207031,216.8300018310547,168.41000366210938,294.989990234375,439.7200012207031,207.10000610351562,161.5800018310547,285.1700134277344,427.1499938964844,212.0800018310547,162.36000061035156,291.5199890136719,433.05999755859375,4554300,14081200,72848600,167997300
2022-01-26,199.4242706298828,148.9741973876953,286.4377136230469,409.9425964355469,214.2899932861328,168.3800048828125,296.7099914550781,433.3800048828125,218.8800048828125,169.22000122070312,308.5,444.0400085449219,212.24000549316406,166.22999572753906,293.0299987792969,428.8599853515625,215.0,167.5399932861328,307.989990234375,440.7200012207031,3558500,9963200,90428900,186391100
2022-01-27,197.45132446289062,150.92953491210938,289.4593505859375,407.9183044433594,212.1699981689453,170.58999633789062,299.8399963378906,431.239990234375,217.89999389648438,171.91000366210938,307.29998779296875,441.5899963378906,210.14999389648438,169.0,297.92999267578125,429.45001220703125,215.2100067138672,169.38999938964844,302.6600036621094,438.260009765625,3678100,9066700,53481300,149878300
2022-01-28,187.2051239013672,151.99122619628906,297.587890625,418.04913330078125,201.16000366210938,171.7899932861328,308.260009765625,441.95001220703125,208.0,171.83999633789062,308.4800109863281,442.0,196.8000030517578,169.3000030517578,294.45001220703125,427.82000732421875,205.58999633789062,170.86000061035156,300.2300109863281,432.67999267578125,10747300,9783100,49743700,164457400
2022-01-31,187.57737731933594,152.43357849121094,300.2137451171875,425.5785827636719,201.55999755859375,172.2899932861328,310.9800109863281,449.9100036621094,201.60000610351562,172.6199951171875,312.3800048828125,450.2799987792969,194.67999267578125,170.82000732421875,306.3699951171875,439.80999755859375,199.4499969482422,171.5,308.95001220703125,441.239990234375,6179000,8054800,46444500,152251400
